,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,provinceID,lockdate,label
7532,61,2021-07-03,0,0.0,28.0,0.0,,,
7533,62,2021-07-03,0,0.0,7.0,0.0,,,
7534,99,2021-07-03,0,0.0,0.0,0.0,,,
7535,1,2021-07-03,416,10.0,44743.0,411.0,,,
7536,59,2021-07-04,37,0.0,0.0,0.0,,,
7537,48,2021-07-04,53,0.0,0.0,0.0,,,
7538,47,2021-07-04,27,0.0,789.0,52.0,,,
7539,46,2021-07-04,64,2.0,0.0,52.0,,,
7540,35,2021-07-04,213,9.0,0.0,286.0,,,
7541,24,2021-07-04,127,0.0,0.0,0.0,,,
7542,10,2021-07-04,0,0.0,0.0,0.0,,,
7543,13,2021-07-04,0,1.0,387.0,1.0,,,
7544,12,2021-07-04,3,0.0,2917.0,2.0,,,
7545,11,2021-07-04,0,0.0,0.0,0.0,,,
7546,60,2021-07-04,0,0.0,0.0,0.0,,,
7547,61,2021-07-04,0,0.0,0.0,0.0,,,
7548,62,2021-07-04,0,0.0,0.0,0.0,,,
7549,99,2021-07-04,0,0.0,0.0,0.0,,,
7550,1,2021-07-04,524,12.0,4093.0,393.0,,,
7551,59,2021-07-05,18,3.0,8995.0,162.0,,,
7552,48,2021-07-05,44,2.0,8136.0,201.0,,,
7553,47,2021-07-05,20,0.0,912.0,56.0,,,
7554,46,2021-07-05,63,1.0,2276.0,60.0,,,
7555,35,2021-07-05,170,1.0,36069.0,233.0,,,
7556,24,2021-07-05,49,1.0,36321.0,284.0,,,
7557,10,2021-07-05,13,0.0,960.0,0.0,,,
7558,13,2021-07-05,1,0.0,456.0,4.0,,,
7559,12,2021-07-05,1,0.0,2830.0,9.0,,,
7560,11,2021-07-05,0,0.0,385.0,0.0,,,
7561,60,2021-07-05,0,0.0,0.0,0.0,,,
7562,61,2021-07-05,0,0.0,35.0,0.0,,,
7563,62,2021-07-05,0,0.0,0.0,0.0,,,
7564,99,2021-07-05,0,0.0,0.0,0.0,,,
7565,1,2021-07-05,379,8.0,97375.0,1009.0,,,
7566,59,2021-07-06,7,0.0,4612.0,58.0,,,
7567,48,2021-07-06,33,2.0,3017.0,99.0,,,
