,pruid,date,Class,median_numtoday,median_numdeathstoday,median_numteststoday,median_numrecoveredtoday,std_numtoday,std_numdeathstoday,std_numteststoday,std_numrecoveredtoday,var_numtoday,var_numdeathstoday,var_numteststoday,var_numrecoveredtoday,skew_numtoday,skew_numdeathstoday,skew_numteststoday,skew_numrecoveredtoday,kurt_numtoday,kurt_numdeathstoday,kurt_numteststoday,kurt_numrecoveredtoday
4842,61,20210123,0.0,0.0,0.0,90.0,0.0,0.915475416434127,0.0,68.02506540834435,0.0,0.8380952380952383,0.0,4627.409523809527,0.0,2.046206500605184,,0.9744514205003562,,3.6462968849332458,,1.350514906408162,
4857,61,20210124,0.0,0.0,0.0,97.0,0.0,0.915475416434127,0.0,66.81089161278453,0.0,0.8380952380952383,0.0,4463.695238095242,0.0,2.046206500605184,,0.9007309437239444,,3.6462968849332458,,1.4729151229865498,
4872,61,20210125,0.0,0.0,0.0,97.0,0.0,0.915475416434127,0.0,68.27953747716252,0.0,0.8380952380952383,0.0,4662.095238095241,0.0,2.046206500605184,,0.9423359076403791,,3.6462968849332458,,1.2744974497260106,
4887,61,20210126,0.0,0.0,0.0,97.0,0.0,0.915475416434127,0.0,66.26210581219608,0.2581988897471602,0.8380952380952383,0.0,4390.66666666667,0.06666666666666618,2.046206500605184,,1.0651176701562477,3.87298334620729,3.6462968849332458,,1.5198673723430052,14.999999999994065
4902,61,20210127,0.0,0.0,0.0,97.0,0.0,0.915475416434127,0.0,61.91376491309739,0.7988086367179799,0.8380952380952383,0.0,3833.3142857142893,0.6380952380952376,2.046206500605184,,1.3640360342558484,3.325848389454009,3.6462968849332458,,2.1001874148936,11.391178436177302
4917,61,20210128,0.0,0.0,0.0,97.0,0.0,0.915475416434127,0.0,61.53032546948664,0.7988086367179799,0.8380952380952383,0.0,3785.9809523809563,0.6380952380952376,2.046206500605184,,1.3454255042806635,3.325848389454009,3.6462968849332458,,2.1310493695873856,11.391178436177302
4932,61,20210129,0.0,0.0,0.0,97.0,0.0,0.915475416434127,0.0,61.45459028149704,1.0600988273786192,0.8380952380952383,0.0,3776.6666666666706,1.1238095238095234,2.046206500605184,,1.3406385557669824,2.1756353909292385,3.6462968849332458,,2.1358808921735775,3.4549090668021916
4947,61,20210130,0.0,0.0,0.0,97.0,0.0,0.9102589898327995,0.0,61.45459028149704,1.0600988273786192,0.8285714285714286,0.0,3776.6666666666706,1.1238095238095234,2.3079099239152323,,1.3406385557669824,2.1756353909292385,4.664319034116941,,2.1358808921735775,3.4549090668021916
4962,61,20210131,0.0,0.0,0.0,97.0,0.0,0.9102589898327995,0.0,61.44436120434102,1.0600988273786192,0.8285714285714286,0.0,3775.409523809528,1.1238095238095234,2.3079099239152323,,1.3338374643523925,2.1756353909292385,4.664319034116941,,2.1243285469819604,3.4549090668021916
4977,61,20210201,0.0,0.0,0.0,90.0,0.0,0.5606119105813882,0.0,65.53646749275228,1.0600988273786192,0.3142857142857144,0.0,4295.028571428576,1.1238095238095234,2.918888460051841,,1.2768140601029043,2.1756353909292385,8.388429752065724,,1.9870966992397667,3.4549090668021916
4992,61,20210202,0.0,0.0,0.0,87.0,0.0,0.5936168397046637,0.0,67.67147531588606,1.0600988273786192,0.35238095238095246,0.0,4579.428571428575,1.1238095238095234,2.272968452080365,,1.3011617436010754,2.1756353909292385,4.784795190200484,,1.7841304293574256,3.4549090668021916
5007,61,20210203,0.0,0.0,0.0,87.0,0.0,0.3518657752744985,0.0,66.00375169712129,1.0600988273786192,0.12380952380952388,0.0,4356.495238095242,1.1238095238095234,2.404763138710466,,1.2981993030958878,2.1756353909292385,4.349112426039483,,1.9842687084996227,3.4549090668021916
5022,61,20210204,0.0,0.0,0.0,87.0,0.0,0.3518657752744985,0.0,61.29048710463813,1.0600988273786192,0.12380952380952388,0.0,3756.523809523813,1.1238095238095234,2.404763138710466,,1.598075321254105,2.1756353909292385,4.349112426039483,,3.974907661918073,3.4549090668021916
5037,61,20210205,0.0,0.0,0.0,83.0,0.0,0.25819888974716126,0.0,39.428899239493084,1.0600988273786192,0.06666666666666674,0.0,1554.6380952380982,1.1238095238095234,3.87298334620729,,0.15902730266065848,2.1756353909292385,14.999999999994065,,-0.6302489951183244,3.4549090668021916
5052,61,20210206,0.0,0.0,0.0,69.0,0.0,0.25819888974716126,0.0,37.58127700002201,1.0600988273786192,0.06666666666666674,0.0,1412.3523809523838,1.1238095238095234,3.87298334620729,,0.4423397806410211,2.1756353909292385,14.999999999994065,,-0.12470200179850274,3.4549090668021916
