,pruid,date,Class
439,1.0,2021-05-28,0.0
440,1.0,2021-05-29,0.0
441,1.0,2021-05-30,0.0
442,1.0,2021-05-31,0.0
443,1.0,2021-06-01,0.0
444,1.0,2021-06-02,0.0
445,1.0,2021-06-03,0.0
446,1.0,2021-06-04,0.0
447,1.0,2021-06-05,0.0
448,1.0,2021-06-06,0.0
449,1.0,2021-06-07,0.0
450,1.0,2021-06-08,0.0
451,1.0,2021-06-09,0.0
452,1.0,2021-06-10,0.0
453,1.0,2021-06-11,0.0
454,1.0,2021-06-12,0.0
455,1.0,2021-06-13,0.0
456,1.0,2021-06-14,0.0
457,1.0,2021-06-15,0.0
458,1.0,2021-06-16,0.0
459,1.0,2021-06-17,0.0
460,1.0,2021-06-18,0.0
461,1.0,2021-06-19,0.0
462,1.0,2021-06-20,0.0
463,1.0,2021-06-21,0.0
464,1.0,2021-06-22,0.0
465,1.0,2021-06-23,0.0
466,1.0,2021-06-24,0.0
467,1.0,2021-06-25,0.0
468,1.0,2021-06-26,0.0
469,1.0,2021-06-27,0.0
470,1.0,2021-06-28,0.0
471,1.0,2021-06-29,0.0
472,1.0,2021-06-30,0.0
473,1.0,2021-07-01,0.0
474,1.0,2021-07-02,0.0
475,1.0,2021-07-03,0.0
476,1.0,2021-07-04,0.0
477,1.0,2021-07-05,0.0
478,1.0,2021-07-06,0.0
479,1.0,2021-07-07,0.0
480,1.0,2021-07-08,0.0
481,1.0,2021-07-09,0.0
482,1.0,2021-07-10,0.0
483,1.0,2021-07-11,0.0
484,1.0,2021-07-12,0.0
485,1.0,2021-07-13,0.0
486,1.0,2021-07-14,0.0
487,1.0,2021-07-15,0.0
488,1.0,2021-07-16,0.0
489,1.0,2021-07-17,0.0
490,1.0,2021-07-18,0.0
491,1.0,2021-07-19,0.0
492,1.0,2021-07-20,0.0
493,1.0,2021-07-21,0.0
494,1.0,2021-07-22,0.0
495,1.0,2021-07-23,0.0
496,1.0,2021-07-24,0.0
497,1.0,2021-07-25,0.0
498,1.0,2021-07-26,0.0
499,1.0,2021-07-27,0.0
500,1.0,2021-07-28,0.0
501,1.0,2021-07-29,0.0
502,1.0,2021-07-30,0.0
503,1.0,2021-07-31,0.0
504,1.0,2021-08-01,0.0
505,1.0,2021-08-02,0.0
506,1.0,2021-08-03,0.0
507,1.0,2021-08-04,0.0
508,1.0,2021-08-05,0.0
509,1.0,2021-08-06,0.0
510,1.0,2021-08-07,0.0
511,1.0,2021-08-08,0.0
512,1.0,2021-08-09,0.0
513,1.0,2021-08-10,0.0
514,1.0,2021-08-11,0.0
515,1.0,2021-08-12,0.0
516,1.0,2021-08-13,0.0
517,1.0,2021-08-14,0.0
518,1.0,2021-08-15,0.0
519,1.0,2021-08-16,0.0
520,1.0,2021-08-17,0.0
521,1.0,2021-08-18,0.0
522,1.0,2021-08-19,0.0
523,1.0,2021-08-20,0.0
524,1.0,2021-08-21,0.0
525,1.0,2021-08-22,0.0
526,1.0,2021-08-23,0.0
527,1.0,2021-08-24,0.0
528,1.0,2021-08-25,0.0
529,1.0,2021-08-26,0.0
530,1.0,2021-08-27,0.0
531,1.0,2021-08-28,0.0
532,1.0,2021-08-29,0.0
533,1.0,2021-08-30,0.0
534,1.0,2021-08-31,0.0
535,1.0,2021-09-01,0.0
536,1.0,2021-09-02,0.0
537,1.0,2021-09-03,0.0
538,1.0,2021-09-04,0.0
539,1.0,2021-09-05,0.0
540,1.0,2021-09-06,0.0
541,1.0,2021-09-07,0.0
542,1.0,2021-09-08,0.0
543,1.0,2021-09-09,0.0
544,1.0,2021-09-10,0.0
545,1.0,2021-09-11,0.0
546,1.0,2021-09-12,0.0
547,1.0,2021-09-13,0.0
548,1.0,2021-09-14,0.0
549,1.0,2021-09-15,0.0
550,1.0,2021-09-16,0.0
551,1.0,2021-09-17,0.0
552,1.0,2021-09-18,0.0
553,1.0,2021-09-19,0.0
554,1.0,2021-09-20,0.0
555,1.0,2021-09-21,0.0
556,1.0,2021-09-22,0.0
557,1.0,2021-09-23,0.0
558,1.0,2021-09-24,0.0
559,1.0,2021-09-25,0.0
560,1.0,2021-09-26,0.0
561,1.0,2021-09-27,0.0
562,1.0,2021-09-28,0.0
563,1.0,2021-09-29,0.0
564,1.0,2021-09-30,0.0
565,1.0,2021-10-01,0.0
566,1.0,2021-10-02,0.0
567,1.0,2021-10-03,0.0
568,1.0,2021-10-04,0.0
569,1.0,2021-10-05,0.0
570,1.0,2021-10-06,0.0
571,1.0,2021-10-07,0.0
572,1.0,2021-10-08,0.0
573,1.0,2021-10-09,0.0
574,1.0,2021-10-10,0.0
575,1.0,2021-10-11,0.0
576,1.0,2021-10-12,0.0
577,1.0,2021-10-13,0.0
578,1.0,2021-10-14,0.0
579,1.0,2021-10-15,0.0
580,1.0,2021-10-16,0.0
581,1.0,2021-10-17,0.0
582,1.0,2021-10-18,0.0
583,1.0,2021-10-19,0.0
584,1.0,2021-10-20,0.0
585,1.0,2021-10-21,0.0
586,1.0,2021-10-22,0.0
587,1.0,2021-10-23,0.0
588,1.0,2021-10-24,0.0
589,1.0,2021-10-25,0.0
590,1.0,2021-10-26,0.0
591,1.0,2021-10-27,0.0
592,1.0,2021-10-28,0.0
593,1.0,2021-10-29,0.0
594,1.0,2021-10-30,0.0
595,1.0,2021-10-31,0.0
596,1.0,2021-11-01,0.0
597,1.0,2021-11-02,0.0
598,1.0,2021-11-03,0.0
599,1.0,2021-11-04,0.0
600,1.0,2021-11-05,0.0
601,1.0,2021-11-06,0.0
602,1.0,2021-11-07,0.0
603,1.0,2021-11-08,0.0
604,1.0,2021-11-09,0.0
605,1.0,2021-11-10,0.0
606,1.0,2021-11-11,0.0
607,1.0,2021-11-12,0.0
608,1.0,2021-11-13,0.0
609,1.0,2021-11-14,0.0
610,1.0,2021-11-15,0.0
611,1.0,2021-11-16,0.0
612,1.0,2021-11-17,0.0
613,1.0,2021-11-18,0.0
614,1.0,2021-11-19,0.0
615,1.0,2021-11-20,0.0
616,1.0,2021-11-21,0.0
617,1.0,2021-11-22,0.0
618,1.0,2021-11-23,0.0
619,1.0,2021-11-24,0.0
620,1.0,2021-11-25,0.0
621,1.0,2021-11-26,0.0
622,1.0,2021-11-27,0.0
623,1.0,2021-11-28,0.0
624,1.0,2021-11-29,0.0
625,1.0,2021-11-30,0.0
626,1.0,2021-12-01,0.0
627,1.0,2021-12-02,0.0
628,1.0,2021-12-03,0.0
629,1.0,2021-12-04,0.0
630,1.0,2021-12-05,0.0
631,1.0,2021-12-06,0.0
632,10.0,2020-03-14,1.0
633,10.0,2020-03-15,1.0
634,10.0,2020-03-16,1.0
635,10.0,2020-03-17,1.0
636,10.0,2020-03-18,1.0
637,10.0,2020-03-19,1.0
638,10.0,2020-03-20,1.0
639,10.0,2020-03-21,1.0
