,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class,median_numtoday,median_numdeathstoday,median_numteststoday,median_numrecoveredtoday,std_numtoday,std_numdeathstoday,std_numteststoday,std_numrecoveredtoday,var_numtoday,var_numdeathstoday,var_numteststoday,var_numrecoveredtoday,skew_numtoday,skew_numdeathstoday,skew_numteststoday,skew_numrecoveredtoday,kurt_numtoday,kurt_numdeathstoday,kurt_numteststoday,kurt_numrecoveredtoday
89,47,20200313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,1.7320507993513716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,46,20200313,2,0.0,195.0,0.0,1.0,1.0,0.0,104.0,0.0,1.0,0.0,97.57219549304676,0.0,1.0,0.0,9520.333333333334,0.0,-8.594724931765895e-10,0.0,-0.1994578308089686,0.0,0.0,0.0,0.0,0.0
91,35,20200313,20,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,6.017434985899208,0.2581988897471611,0.0,0.0,36.20952380952381,0.06666666666666667,0.0,0.0,1.7118380292844255,3.87298334623759,0.0,0.0,2.303099082589016,15.000000003703676,0.0,0.0
92,24,20200313,4,0.0,216.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0027758514399734,0.0,75.84787406381277,0.0,4.01111111111111,0.0,5752.900000000001,0.0,1.3443944666444119,0.0,2.0747065152023785,0.0,1.0697341106318692,0.0,3.4292626797589683,0.0
93,10,20200313,0,0.0,51.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,25.632011235952593,0.0,0.0,0.0,657.0,0.0,0.0,0.0,0.5194702971444699,0.0,0.0,0.0,0.0,0.0
94,13,20200313,0,0.0,75.0,0.0,0.0,0.0,0.0,16.0,0.0,0.5773502691896258,0.0,39.50105483823607,0.0,0.33333333333333337,0.0,1560.3333333333335,0.0,1.732050807578323,0.0,1.4178729470659497,0.0,0.0,0.0,0.0,0.0
95,12,20200313,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.505553499465135,0.0,0.0,0.0,56.333333333333336,0.0,0.0,0.0,1.7320508686821272,0.0,0.0,0.0,0.0,0.0
96,11,20200313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,60,20200313,0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.925772879665004,0.0,0.0,0.0,321.3333333333333,0.0,0.0,0.0,1.707826384353339,0.0,0.0,0.0,0.0,0.0
98,61,20200313,0,0.0,19.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.848857801796104,0.0,0.0,0.0,97.0,0.0,0.0,0.0,1.2435373651326227,0.0,0.0,0.0,0.0,0.0
99,62,20200313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.279056191361391,0.0,0.0,0.0,176.33333333333331,0.0,0.0,0.0,-1.732050807568885,0.0,0.0,0.0,0.0,0.0
100,99,20200313,1,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5773502691896258,0.0,3.2145502536643185,0.0,0.33333333333333337,0.0,10.333333333333334,0.0,-1.732050807568877,0.0,1.5453925256950196,0.0,0.0,0.0,0.0,0.0
101,1,20200313,38,0.0,3150.0,0.0,0.0,6.0,0.0,0.0,0.0,12.742878496672263,0.3518657752744984,918.4805931537151,0.0,162.38095238095238,0.12380952380952381,843606.6000000002,0.0,1.4068623312232724,2.4047631385980046,2.7184688366101963,0.0,0.8747195142590556,4.349112354861093,6.842890263383195,0.0
102,59,20200314,11,0.0,1166.0,0.0,0.0,4.0,0.0,0.0,0.0,3.8147583085145707,0.2581988897471611,454.1322756747464,0.0,14.552380952380949,0.06666666666666667,206236.12380952382,0.0,0.3942126593731546,3.87298334620729,1.8166412628795332,0.0,-1.2536267106562093,14.999999999994065,1.7168150119404773,0.0
103,48,20200314,6,0.0,1147.0,0.0,0.0,5.5,0.0,392.0,0.0,2.1369760566432805,0.0,621.7904523765757,0.0,4.5666666666666655,0.0,386623.36666666664,0.0,-1.338954565063127,0.0,0.3022292945362243,0.0,1.8781053312196587,0.0,-2.5616764721938368,0.0
