,pruid,date,numtoday,numdeathstoday,numtestedtoday,numrecoveredtoday
375,46,20200401,24,0.0,1182.0,0.0
376,35,20200401,426,4.0,5100.0,155.0
377,24,20200401,449,2.0,2171.0,0.0
378,10,20200401,23,0.0,262.0,3.0
379,13,20200401,11,0.0,491.0,5.0
380,12,20200401,26,0.0,791.0,1.0
381,11,20200401,0,0.0,0.0,2.0
382,60,20200401,0,0.0,20.0,3.0
383,61,20200401,1,0.0,143.0,0.0
384,62,20200401,0,0.0,16.0,0.0
385,99,20200401,0,0.0,0.0,0.0
386,1,20200401,1065,13.0,14795.0,299.0
387,59,20200402,55,6.0,602.0,35.0
388,48,20200402,214,4.0,3955.0,32.0
389,47,20200402,13,0.0,832.0,6.0
390,46,20200402,40,0.0,1287.0,7.0
391,35,20200402,401,16.0,3776.0,142.0
392,24,20200402,907,3.0,4831.0,195.0
393,10,20200402,8,0.0,142.0,0.0
394,13,20200402,10,0.0,504.0,8.0
395,12,20200402,20,0.0,654.0,5.0
396,11,20200402,1,0.0,102.0,0.0
397,60,20200402,1,0.0,20.0,0.0
398,61,20200402,0,0.0,18.0,0.0
399,62,20200402,0,0.0,10.0,0.0
400,99,20200402,0,0.0,0.0,0.0
401,1,20200402,1670,29.0,17733.0,430.0
402,59,20200403,53,4.0,2960.0,0.0
403,48,20200403,107,5.0,3412.0,0.0
404,47,20200403,14,0.0,686.0,0.0
405,46,20200403,15,1.0,552.0,0.0
406,35,20200403,462,14.0,3213.0,0.0
407,24,20200403,583,25.0,9028.0,0.0
408,10,20200403,0,0.0,232.0,0.0
409,13,20200403,4,0.0,411.0,0.0
410,12,20200403,14,0.0,740.0,0.0
411,11,20200403,0,0.0,0.0,0.0
412,60,20200403,0,0.0,11.0,0.0
413,61,20200403,2,0.0,140.0,0.0
414,62,20200403,0,0.0,14.0,0.0
415,99,20200403,0,0.0,0.0,0.0
416,1,20200403,1254,49.0,21399.0,0.0
417,59,20200404,29,3.0,845.0,64.0
418,48,20200404,0,0.0,2012.0,0.0
419,47,20200404,11,0.0,524.0,0.0
420,46,20200404,12,0.0,541.0,0.0
421,35,20200404,375,27.0,4676.0,0.0
422,24,20200404,896,14.0,6657.0,0.0
423,10,20200404,12,0.0,209.0,0.0
424,13,20200404,3,0.0,261.0,0.0
425,12,20200404,29,0.0,923.0,0.0
426,11,20200404,0,0.0,186.0,0.0
427,60,20200404,0,0.0,12.0,0.0
428,61,20200404,0,0.0,60.0,0.0
429,62,20200404,0,0.0,0.0,0.0
430,99,20200404,0,0.0,0.0,0.0
431,1,20200404,1367,44.0,16906.0,0.0
432,59,20200405,0,0.0,785.0,-1.0
433,48,20200405,175,5.0,795.0,240.0
434,47,20200405,18,0.0,811.0,55.0
435,46,20200405,9,0.0,580.0,17.0
436,35,20200405,408,25.0,3353.0,1219.0
437,24,20200405,947,19.0,5728.0,0.0
438,10,20200405,22,0.0,211.0,11.0
439,13,20200405,3,0.0,124.0,28.0
440,12,20200405,26,0.0,362.0,50.0
441,11,20200405,0,0.0,0.0,6.0
442,60,20200405,0,0.0,5.0,4.0
443,61,20200405,0,0.0,46.0,1.0
444,62,20200405,0,0.0,20.0,0.0
445,99,20200405,0,0.0,0.0,12.0
446,1,20200405,1608,49.0,12814.0,2335.0
447,59,20200406,63,1.0,1109.0,79.0
448,48,20200406,98,1.0,868.0,121.0
449,47,20200406,4,0.0,625.0,26.0
450,46,20200406,1,0.0,1017.0,0.0
451,35,20200406,309,13.0,3098.0,405.0
452,24,20200406,636,27.0,4158.0,611.0
453,10,20200406,9,1.0,220.0,21.0
454,13,20200406,2,0.0,257.0,2.0
455,12,20200406,31,0.0,654.0,14.0
456,11,20200406,0,0.0,0.0,2.0
457,60,20200406,1,0.0,5.0,0.0
458,61,20200406,1,0.0,2.0,0.0
459,62,20200406,0,0.0,2.0,0.0
460,99,20200406,0,0.0,0.0,0.0
461,1,20200406,1155,43.0,12021.0,1281.0
462,59,20200407,25,4.0,592.0,0.0
463,48,20200407,25,2.0,1082.0,0.0
464,47,20200407,7,0.0,523.0,0.0
465,46,20200407,13,1.0,202.0,0.0
466,35,20200407,379,21.0,2930.0,0.0
467,24,20200407,760,29.0,4413.0,0.0
468,10,20200407,2,0.0,182.0,0.0
469,13,20200407,2,0.0,424.0,0.0
470,12,20200407,17,0.0,821.0,0.0
471,11,20200407,0,0.0,100.0,0.0
472,60,20200407,0,0.0,12.0,0.0
473,61,20200407,0,0.0,13.0,0.0
474,62,20200407,0,0.0,5.0,0.0
475,99,20200407,0,0.0,0.0,0.0
476,1,20200407,1230,57.0,5164.0,0.0
477,59,20200408,45,5.0,1012.0,55.0
478,48,20200408,50,3.0,1518.0,0.0
479,47,20200408,11,0.0,856.0,0.0
480,46,20200408,4,0.0,579.0,0.0
481,35,20200408,550,21.0,3648.0,0.0
482,24,20200408,691,25.0,4744.0,0.0
483,10,20200408,4,0.0,177.0,0.0
484,13,20200408,3,0.0,375.0,0.0
485,12,20200408,32,1.0,513.0,0.0
486,11,20200408,2,0.0,408.0,0.0
487,60,20200408,0,0.0,7.0,0.0
488,61,20200408,0,0.0,21.0,0.0
489,62,20200408,0,0.0,6.0,0.0
490,99,20200408,0,0.0,0.0,0.0
491,1,20200408,1392,55.0,19999.0,0.0
492,59,20200409,34,2.0,887.0,20.0
493,48,20200409,28,3.0,1333.0,0.0
494,47,20200409,7,0.0,1000.0,0.0
495,46,20200409,3,0.0,0.0,0.0
496,35,20200409,483,26.0,4203.0,0.0
497,24,20200409,881,41.0,4095.0,0.0
498,10,20200409,4,1.0,249.0,0.0
499,13,20200409,3,0.0,472.0,0.0
